Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,COUNT,ADL_GRP_1,ADL_GRP_2,ADL_GRP_3,ADL_RANK_1,ADL_RANK_2,ADL_RANK_3,ADL_RANK_4,ADL_RANK_5,ADL_RANK_6,ADL_RANK_7,ADL_RANK_8,ADL_RANK_9,ADL_RANK_10,ADL_RANK_11,ADL_RANK_12,TROPHIC_MODE,TROPHIC_TYPE,PREYS,COMMENTS
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Borghiellaceae,Borghiella,Borghiella_tenuissima,2,Diaphoretickes,Sar,Alveolata,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Borghiellaceae,NA,NA,NA,NA,NA,NA,Borghiella,Mixotrophs,Mixotrophs,,
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Asulcocephalium,Asulcocephalium_miricentonis,67,Diaphoretickes,Sar,Alveolata,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,NA,NA,NA,NA,NA,NA,Asulcocephalium,Mixotrophs,Mixotrophs,,
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Tovelliaceae,Jadwigia,Jadwigia_applanata,16,Diaphoretickes,Sar,Alveolata,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Tovelliaceae,NA,NA,NA,NA,NA,NA,Jadwigia,Mixotrophs,Mixotrophs,,
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Peridinium,Peridinium_cinctum,1589,Diaphoretickes,Sar,Alveolata,Alveolata,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,NA,NA,NA,NA,NA,NA,Peridinium,Mixotrophs,Mixotrophs,,
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Peridinium,Peridinium_willei,366,Diaphoretickes,Sar,Alveolata,Alveolata,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,NA,NA,NA,NA,NA,NA,Peridinium,Mixotrophs,Mixotrophs,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,NA,11,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorodendrophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Tetraselmis,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Scherfellia,NA,933,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorodendrophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Scherffelia,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Scherffelia,NA,3,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorodendrophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Scherffelia,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Hafniomonas,Hafniomonas_reticulata,721,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Hafniomonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlorophyceae_X,Chlorophyceae_XX,Treubaria,Treubaria_setigera,10,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Treubaria,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlorophyceae_X,Chlorophyceae_XX,Cylindrocapsa,Cylindrocapsa_geminella,3,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Cylindrocapsa,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chaetopeltidales,Chaetopeltidales_X,Floydiella,Floydiella_terrestris,15,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Floydiella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,NA,NA,35079,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,NA,14223,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlamydomonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,3677,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlamydomonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chloromonas,NA,1893,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chloromonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorococcales,Chlorococcales_sp.,1686,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlorococcales,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Oophila,Oophila_sp.,632,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Oophila,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Oogamochlamys,Oogamochlamys_gigantea,452,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Oogamochlamys,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Neospongiococcum,Neospongiococcum_gelatinosum,153,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Neospongiococcum,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Nautococcus,Nautococcus_solutus,80,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Nautococcus,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_kuwadae,73,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlamydomonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Protosiphon,Protosiphon_botryoides,48,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Protosiphon,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_applanata,41,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlamydomonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorosarcina,Chlorosarcina_stigmatica,6,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlorosarcina,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Ignatius,Ignatius_tetrasporus,4,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Ignatius,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorosarcinopsis,Chlorosarcinopsis_eremi,2,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlorosarcinopsis,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Pascherina,Pascherina_tetras,2,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Pascherina,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadaceae,NA,1664,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Chlamydomonadaceae,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Gloeomonas,NA,35,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Gloeomonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Spongiococcum,NA,31,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Spongiococcum,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlorophyceae_X,Chlorophyceae_XX,Jenufa,Jenufa_perforata,7,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Jenufa,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,2347,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,Desmodesmus_communis,131219,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Desmodesmus,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,NA,NA,19290,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Coelastrella,NA,4042,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Coelastrella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Mychonastes,NA,3212,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Mychonastes,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Coenochloris,Coenochloris_sp.,904,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Coenochloris,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,NA,301,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Desmodesmus,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,NA,NA,269,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Mychonastes,Mychonastes_zofingiensis,248,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Mychonastes,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pseudopediastrum,Pseudopediastrum_kawraiskyi,212,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Pseudopediastrum,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Characium,Characium_sp.,175,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Characium,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Scenedesmus,Scenedesmus_pupukensis,85,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Scenedesmus,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Dictyococcus,NA,81,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Dictyococcus,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Characiopodium,Characiopodium_sp.,79,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Characiopodium,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Quadrigula,Quadrigula_closterioides,54,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Quadrigula,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Protodesmus,Protodesmus_globulifer,18,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Protodesmus,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pseudoschroederia,NA,291,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Pseudoschroederia,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Dolichomastigales,Crustomastigaceae,NA,NA,183,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastigaceae-B,Dolichomastigaceae-B_sp.,14,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mamiella,NA,6,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Mamiella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Monomastigales,Monomastigaceae,Monomastix,NA,649,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Monomastix,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyta_XX,Chlorophyta_XXX,Scotinosphaera,Scotinosphaera_gibberosa,658,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scotinosphaera,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyta_XX,Chlorophyta_XXX,Scotinosphaera,Scotinosphaera_lemnae,548,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scotinosphaera,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyta_XX,Chlorophyta_XXX,Scotinosphaera,NA,9,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scotinosphaera,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Nephroselmidaceae,Nephroselmidaceae_X,Nephroselmidaceae_XX,Nephroselmidaceae_XX_sp.,4,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,NA,NA,NA,NA,NA,145,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Pedinomonas,NA,6,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Pedinophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Pedinomonas,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Coccomyxaceae,Coccomyxa,Coccomyxa_solorinae-saccatae,5,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Coccomyxa,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,NA,NA,6881,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Oocystis,Oocystis_marssonii,1828,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Oocystis,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Franceia,Franceia_amphitricha,170,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Franceia,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Auxenochlorella,Auxenochlorella_protothecoides,38,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Auxenochlorella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Closteriopsis,Closteriopsis_acicularis,32,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Closteriopsis,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Oocystella,Oocystella_oogama,23,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Oocystella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Ecballocystis,Ecballocystis_hubeiensis,16,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Ecballocystis,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Neglectella,Neglectella_peisonis,15,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Neglectella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Ooplanctella,Ooplanctella_planoconvexa,10,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Ooplanctella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Auxenochlorella,Auxenochlorella_sp.,3,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Auxenochlorella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Makinoella,NA,116,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Makinoella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Quadricoccus,NA,8,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Quadricoccus,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Microthamniales,Microthamniales_X,Trebouxia,Trebouxia_sp.,24,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Trebouxia,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Microthamniales,Microthamniales_X,Friedmannia,NA,45,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Friedmannia,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,87,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolales_X,Koliella,Koliella_sempervirens,294,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Koliella,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,NA,NA,587,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,Choricystis,NA,273,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Choricystis,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,Microthamnion,Microthamnion_kuetzingianum,42,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Microthamnion,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,Choricystis,Choricystis_minor,4,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Choricystis,Autotrophs,Photosynthetics,,
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae_X,Trebouxiophyceae_XX,Xylochloris,Xylochloris_sp.,2,Diaphoretickes,Archaeplastida,Chloroplastida,Chloroplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Xylochloris,Autotrophs,Photosynthetics,,
